user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,Jayleen 1918,3,0.044639494,business,family,3,Boat Quay, Singapore
,Jinshan Hotel,3,0.034290206,leisure,solo,3,Chinatown, Singapore
,Jinshan Hotel,3,0.043656967,business,couple,3,Chinatown, Singapore
,Jinshan Hotel,3,0.034290206,business,solo,3,Chinatown, Singapore
,Jinshan Hotel,3,0.043656967,leisure,couple,3,Chinatown, Singapore
,Joyfor Backpackers' Hostel,4,0.002439943,business,solo,1,Singapore,0
,Joyfor Backpackers' Hostel,4,0.002439943,leisure,solo,1,Singapore,0
,Kam Leng Hotel by JL Asia,3,0.026642868,leisure,couple,3,Lavender, Singapore
,Kam Leng Hotel by JL Asia,3,0.059033521,leisure,friend,3,Lavender, Singapore
,Kam Leng Hotel by JL Asia,3,0.026642868,business,couple,3,Lavender, Singapore
,Kam Leng Hotel by JL Asia,3,0.026642868,business,solo,3,Lavender, Singapore
,Kam Leng Hotel by JL Asia,3,0.059033521,business,friend,3,Lavender, Singapore
,Kam Leng Hotel by JL Asia,3,0.026642868,leisure,solo,3,Lavender, Singapore
,Kawan Hostel,3,0.000163755,leisure,solo,1,Little India, Singapore
,Kawan Hostel,3,0.000163755,business,solo,1,Little India, Singapore
,Le Peranakan Hotel,2,0.018799024,business,solo,2,Singapore,0
,Le Peranakan Hotel,2,0.026970377,business,couple,2,Singapore,0
,Le Peranakan Hotel,2,0.026970377,leisure,couple,2,Singapore,0
,Lemon Grass Hotel,3,0.024923445,business,family,2,Singapore,0
,Lloyd's Inn,4.5,0.059688539,leisure,family,3,Singapore,0
,Lloyd's Inn,4.5,0.059688539,business,family,3,Singapore,0
,M Social Singapore,4,0.075621858,business,couple,4,Robertson Quay, Singapore
,M Social Singapore,4,0.156991501,leisure,friend,4,Robertson Quay, Singapore
,M Social Singapore,4,0.156991501,business,friend,4,Robertson Quay, Singapore
,Mandarin Orchard Singapore,4,0.100610805,business,couple,5,Orchard, Singapore
,Mandarin Orchard Singapore,4,0.100610805,business,solo,5,Orchard, Singapore
,Mandarin Orchard Singapore,4,0.132870454,business,family,5,Orchard, Singapore
,Mandarin Orchard Singapore,4,0.100610805,leisure,solo,5,Orchard, Singapore
,Mandarin Orchard Singapore,4,0.132870454,leisure,family,5,Orchard, Singapore
,Mandarin Orchard Singapore,4,0.100610805,leisure,couple,5,Orchard, Singapore
